1	144	15.1	62.4	46.6	7
2	144.8	15.3	62.2	46.5	7
3	143	14.9	62.5	46.7	7
4	143.6	15	62.5	46.7	7
5	143.8	15	62.5	46.6	7
6	145.2	15.4	62.1	46.4	7
7	143.8	14.9	62.5	46.7	7
8	143.6	15	62.4	46.6	7
10	144	15.1	62.3	46.6	7
11	142.6	14.8	62.6	46.7	7
12	144	15.1	62.4	46.6	7
13	145	15.3	62.2	46.4	7
14	144.4	15.2	62.3	46.5	7
