142	140.4	14.2	63	47.1	6.8
143	139.6	14.1	63.1	47.1	6.8
144	141.6	14.5	62.8	46.9	6.8
145	141.4	14.4	62.9	47	6.8
146	140.8	14.4	62.9	47	6.8
147	140	14.1	63.2	47.1	6.8
148	140	14.1	63.2	47.1	6.8
149	140	14.2	63.1	47.1	6.8
150	140	14.1	63.1	47.1	6.8
151	140.4	14.2	63.1	47.1	6.8
152	141.4	14.4	62.9	46.9	6.8
153	142.2	14.6	62.7	46.8	6.8
154	140.6	14.4	62.9	47	6.8
155	141.6	14.5	62.8	46.9	6.8
156	141.6	14.5	62.8	46.9	6.8
157	141	14.3	63	47	6.8
158	142.4	14.6	62.7	46.8	6.8
159	140.6	14.4	62.9	47	6.8
160	142.6	14.8	62.6	46.7	6.8
161	142	14.5	62.9	46.9	7
162	141	14.4	62.9	47	6.8
163	141.4	14.4	62.9	47	6.8
164	140.6	14.4	62.9	47	6.8
165	141	14.4	62.9	47	6.8
166	140.8	14.4	62.9	46.9	6.8
167	140.8	14.5	62.9	46.9	6.8
168	140.8	14.3	62.9	47	6.8
169	141.8	14.5	62.8	46.9	7
170	141.8	14.5	62.8	46.9	7
